archivo,sessionId,indice,rawHexOriginal,encuadre,legajoHipotesis,legajoEstado,recordTypeConstant,verificationMethodCode,verificationMethodLabel,timestampHypothesis,field0_unresolved,field1_unresolved
output/fichadas-192.168.1.82-2026-07-02T16_56_50.883Z.json,192.168.1.82-2026-07-02T16-56-50-881Z,1,01000006F971A2E1000000010000004035040000,pre-fix (reconstruido por encadenamiento),,desconocido (header no capturado en esta sesion),00000001,00000040,rostro,,01000006,F971A2E1
output/fichadas-192.168.1.82-2026-07-02T17_16_32.580Z.json,192.168.1.82-2026-07-02T17-16-32-579Z,1,01000006F971A2E1000000010000004002000000,pre-fix (reconstruido por encadenamiento),,desconocido (header no capturado en esta sesion),00000001,00000040,rostro,,01000006,F971A2E1
output/fichadas-192.168.1.82-2026-07-02T17_16_32.580Z.json,192.168.1.82-2026-07-02T17-16-32-579Z,2,01000026F971C2090000000100000040D4060000,pre-fix (reconstruido por encadenamiento),2,decodificado (encadenado),00000001,00000040,rostro,,01000026,F971C209
output/fichadas-192.168.1.82-2026-07-02T17_22_39.835Z.json,192.168.1.82-2026-07-02T17-22-39-834Z,1,01000006F971A2E1000000010000004002000000,pre-fix (reconstruido por encadenamiento),,desconocido (header no capturado en esta sesion),00000001,00000040,rostro,,01000006,F971A2E1
output/fichadas-192.168.1.82-2026-07-02T17_22_39.835Z.json,192.168.1.82-2026-07-02T17-22-39-834Z,2,01000026F971C209000000010000004001000000,pre-fix (reconstruido por encadenamiento),2,decodificado (encadenado),00000001,00000040,rostro,,01000026,F971C209
output/fichadas-192.168.1.82-2026-07-02T17_22_39.835Z.json,192.168.1.82-2026-07-02T17-22-39-834Z,3,01000015F971C24500000001000000308D090000,pre-fix (reconstruido por encadenamiento),1,decodificado (encadenado),00000001,00000030,tarjeta,,01000015,F971C245
output/fichadas-192.168.1.82-2026-07-02T17_52_27.590Z.json,192.168.1.82-2026-07-02T17-52-27-589Z,1,0100000FF971C289000000010000004002000000,pre-fix (reconstruido por encadenamiento),,desconocido (header no capturado en esta sesion),00000001,00000040,rostro,,0100000F,F971C289
output/fichadas-192.168.1.82-2026-07-02T17_52_27.590Z.json,192.168.1.82-2026-07-02T17-52-27-589Z,2,01000036F971C28D000000010000004001000000,pre-fix (reconstruido por encadenamiento),2,decodificado (encadenado),00000001,00000040,rostro,,01000036,F971C28D
output/fichadas-192.168.1.82-2026-07-02T17_52_27.590Z.json,192.168.1.82-2026-07-02T17-52-27-589Z,3,01000008F971C291000000010000003001000000,pre-fix (reconstruido por encadenamiento),1,decodificado (encadenado),00000001,00000030,tarjeta,,01000008,F971C291
output/fichadas-192.168.1.82-2026-07-02T17_52_27.590Z.json,192.168.1.82-2026-07-02T17-52-27-589Z,4,01000007F971C299000000010000001001000000,pre-fix (reconstruido por encadenamiento),1,decodificado (encadenado),00000001,00000010,huella,,01000007,F971C299
output/fichadas-192.168.1.82-2026-07-02T17_52_27.590Z.json,192.168.1.82-2026-07-02T17-52-27-589Z,5,0100000FF971C29D000000010000001001000000,pre-fix (reconstruido por encadenamiento),1,decodificado (encadenado),00000001,00000010,huella,,0100000F,F971C29D
output/fichadas-192.168.1.82-2026-07-02T17_52_27.590Z.json,192.168.1.82-2026-07-02T17-52-27-589Z,6,01000021F971C2A5000000010000003001000000,pre-fix (reconstruido por encadenamiento),1,decodificado (encadenado),00000001,00000030,tarjeta,,01000021,F971C2A5
output/fichadas-192.168.1.82-2026-07-02T17_52_27.590Z.json,192.168.1.82-2026-07-02T17-52-27-589Z,7,0100003AF971C2A9000000010000004073160000,pre-fix (reconstruido por encadenamiento),1,decodificado (encadenado),00000001,00000040,rostro,,0100003A,F971C2A9
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,1,01000006F971020200000002000000103B000000,pre-fix (reconstruido por encadenamiento),,desconocido (header no capturado en esta sesion),00000002,00000010,huella,,01000006,F9710202
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,2,01000009F9710202000000020000001039000000,pre-fix (reconstruido por encadenamiento),59,decodificado (encadenado),00000002,00000010,huella,,01000009,F9710202
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,3,01000013F9710202000000020000001049000000,pre-fix (reconstruido por encadenamiento),57,decodificado (encadenado),00000002,00000010,huella,,01000013,F9710202
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,4,01000021F9710202000000020000001047000000,pre-fix (reconstruido por encadenamiento),73,decodificado (encadenado),00000002,00000010,huella,,01000021,F9710202
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,5,01000024F971020200000002000000104C000000,pre-fix (reconstruido por encadenamiento),71,decodificado (encadenado),00000002,00000010,huella,,01000024,F9710202
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,6,01000027F971020200000002000000104A000000,pre-fix (reconstruido por encadenamiento),76,decodificado (encadenado),00000002,00000010,huella,,01000027,F9710202
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,7,01000033F971020200000002000000400A000000,pre-fix (reconstruido por encadenamiento),74,decodificado (encadenado),00000002,00000040,rostro,,01000033,F9710202
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,8,0100000AF9710206000000020000004009000000,pre-fix (reconstruido por encadenamiento),10,decodificado (encadenado),00000002,00000040,rostro,,0100000A,F9710206
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,9,01000033F971020600000002000000404F000000,pre-fix (reconstruido por encadenamiento),9,decodificado (encadenado),00000002,00000040,rostro,,01000033,F9710206
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,10,01000008F971020A000000020000004023000000,pre-fix (reconstruido por encadenamiento),79,decodificado (encadenado),00000002,00000040,rostro,,01000008,F971020A
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,11,01000023F971020A000000020000004035000000,pre-fix (reconstruido por encadenamiento),35,decodificado (encadenado),00000002,00000040,rostro,,01000023,F971020A
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,12,0100000AF971020E000000020000004001000000,pre-fix (reconstruido por encadenamiento),53,decodificado (encadenado),00000002,00000040,rostro,,0100000A,F971020E
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,13,01000017F9710216000000020000004001000000,pre-fix (reconstruido por encadenamiento),1,decodificado (encadenado),00000002,00000040,rostro,,01000017,F9710216
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,14,01000020F971021A000000020000004002000000,pre-fix (reconstruido por encadenamiento),1,decodificado (encadenado),00000002,00000040,rostro,,01000020,F971021A
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,15,0100002FF971C390000000020000004049000000,pre-fix (reconstruido por encadenamiento),2,decodificado (encadenado),00000002,00000040,rostro,,0100002F,F971C390
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,16,01000027F971C3A0000000020000001009000000,pre-fix (reconstruido por encadenamiento),73,decodificado (encadenado),00000002,00000010,huella,,01000027,F971C3A0
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,17,01000003F971C3B0000000020000004035000000,pre-fix (reconstruido por encadenamiento),9,decodificado (encadenado),00000002,00000040,rostro,,01000003,F971C3B0
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,18,01000039F971C3B000000002000000404F000000,pre-fix (reconstruido por encadenamiento),53,decodificado (encadenado),00000002,00000040,rostro,,01000039,F971C3B0
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,19,01000028F971C3B4000000020000004023000000,pre-fix (reconstruido por encadenamiento),79,decodificado (encadenado),00000002,00000040,rostro,,01000028,F971C3B4
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,20,01000035F971C3CC00000002000000404A000000,pre-fix (reconstruido por encadenamiento),35,decodificado (encadenado),00000002,00000040,rostro,,01000035,F971C3CC
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,21,0100001BF971C3D000000002000000100A000000,pre-fix (reconstruido por encadenamiento),74,decodificado (encadenado),00000002,00000010,huella,,0100001B,F971C3D0
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,22,0100003BF971C3D0000000020000004047000000,pre-fix (reconstruido por encadenamiento),10,decodificado (encadenado),00000002,00000040,rostro,,0100003B,F971C3D0
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,23,01000000F971C3DC00000002000000404C000000,pre-fix (reconstruido por encadenamiento),71,decodificado (encadenado),00000002,00000040,rostro,,01000000,F971C3DC
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,24,01000009F971C3DC000000020000004039000000,pre-fix (reconstruido por encadenamiento),76,decodificado (encadenado),00000002,00000040,rostro,,01000009,F971C3DC
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,25,0100001CF971C3E4000000020000001048000000,pre-fix (reconstruido por encadenamiento),57,decodificado (encadenado),00000002,00000010,huella,,0100001C,F971C3E4
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,26,01000016F971C3EC00000002000000403B000000,pre-fix (reconstruido por encadenamiento),72,decodificado (encadenado),00000002,00000040,rostro,,01000016,F971C3EC
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,27,01000027F971E308000000020000001001000000,pre-fix (reconstruido por encadenamiento),59,decodificado (encadenado),00000002,00000010,huella,,01000027,F971E308
output/fichadas-192.168.1.82-2026-07-03T10_14_14.943Z.json,192.168.1.82-2026-07-03T10-14-14-942Z,28,01000021F971E31000000002000000302C4B0000,pre-fix (reconstruido por encadenamiento),1,decodificado (encadenado),00000002,00000030,tarjeta,,01000021,F971E310
output/fichadas-192.168.1.82-2026-07-03T14_28_28.995Z.json,192.168.1.82-2026-07-03T14-28-28-993Z,1,0200000001000022F97163590000000100000040,post-fix (ya re-encuadrado),2,decodificado,00000001,00000040,rostro,,01000022,F9716359
output/fichadas-192.168.1.82-2026-07-03T14_28_28.995Z.json,192.168.1.82-2026-07-03T14-28-28-993Z,2,3B00000001000010F97163610000000100000040,post-fix (ya re-encuadrado),59,decodificado,00000001,00000040,rostro,,01000010,F9716361
output/fichadas-192.168.1.82-2026-07-03T14_28_28.995Z.json,192.168.1.82-2026-07-03T14-28-28-993Z,3,010000000100000AF97163650000000100000010,post-fix (ya re-encuadrado),1,decodificado,00000001,00000010,huella,,0100000A,F9716365
output/fichadas-192.168.1.82-2026-07-03T14_28_28.995Z.json,192.168.1.82-2026-07-03T14-28-28-993Z,4,2900000001000021F97163690000000100000040,post-fix (ya re-encuadrado),41,decodificado,00000001,00000040,rostro,,01000021,F9716369
